techniqueID	controlID	description	date added
T1092	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1092	RA-5	Vulnerability Scanning	5/29/20
T1092	SI-(3|4)	"System Monitoring, malware"	5/29/20
T1546\.(002|014)	AU-\d+	Audit	5/29/20
T1546\.(002|014)	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1546\.(002|014)	RA-5	Vulnerability Scanning	5/29/20
T1546\.(002|014)	SI-(3|4)	"System Monitoring, malware"	5/29/20
T1011\.001	AU-\d+	Audit	5/29/20
T1011\.001	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1011\.001	RA-5	Vulnerability Scanning	5/29/20
T1011\.001	SI-(3|4)	"System Monitoring, malware"	5/29/20
T1052(\.001)?	AU-\d+	Audit	5/29/20
T1052(\.001)?	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1052(\.001)?	RA-5	Vulnerability Scanning	5/29/20
T1052(\.001)?	SI-(3|4)	"System Monitoring, malware"	5/29/20
T1210	AU-\d+	Audit	5/29/20
T1210	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1210	RA-5	Vulnerability Scanning	5/29/20
T1210	SI-4	System Monitoring	5/29/20
T1133	AC-3	Protect credential access	5/29/20
T1133	AU-\d+	Audit	5/29/20
T1133	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1133	RA-5	Vulnerability Scanning	5/29/20
T1133	SI-4	System Monitoring	5/29/20
T1559(\.002)?	AU-\d+	Audit	5/29/20
T1559(\.002)?	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1559(\.002)?	RA-5	Vulnerability Scanning	5/29/20
T1559(\.002)?	SI-(3|4)	"System Monitoring, malware"	5/29/20
T1557(\.001)?	AU-\d+	Audit	5/29/20
T1557(\.001)?	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1557(\.001)?	IR-5	Incident Monitoring	5/29/20
T1557(\.001)?	RA-5	Vulnerability Scanning	5/29/20
T1557\.001	SI-4	System Monitoring	5/29/20
T1046	AU-\d+	Audit	5/29/20
T1046	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1046	IR-5	Incident Monitoring	5/29/20
T1046	RA-5	Vulnerability Scanning	5/29/20
T1137(\.001)?	AU-\d+	Audit	5/29/20
T1137(\.001)?	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1137(\.001)?	RA-5	Vulnerability Scanning	5/29/20
T1137(\.001)?	SI-(3|4)	"System Monitoring, malware"	5/29/20
T1563(\.(001|002))?	AU-\d+	Audit	5/29/20
T1563(\.(001|002))?	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1563(\.(001|002))?	IR-5	Incident Monitoring	5/29/20
T1563(\.(001|002))?	RA-5	Vulnerability Scanning	5/29/20
T1563(\.(001|002))?	SI-4	System Monitoring	5/29/20
T1021\.(001|003|004|005|006)	AU-\d+	Audit	5/29/20
T1021\.(001|003|004|005|006)	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1021\.(001|003|004|005|006)	IR-5	Incident Monitoring	5/29/20
T1021\.(001|003|004|005|006)	RA-5	Vulnerability Scanning	5/29/20
T1021\.(001|003|004|005|006)	SI-4	System Monitoring	5/29/20
T1091	AU-\d+	Audit	5/29/20
T1091	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1091	RA-5	Vulnerability Scanning	5/29/20
T1091	SI-(3|4)	"System Monitoring, malware"	5/29/20
T1218(\.(003|004|005|008|009))?	AU-\d+	Audit	5/29/20
T1218(\.(003|004|005|008|009))?	RA-5	Vulnerability Scanning	5/29/20
T1218(\.(003|004|005|008|009))?	SI-4	System Monitoring	5/29/20
T1221	AU-\d+	Audit	5/29/20
T1221	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1221	RA-5	Vulnerability Scanning	5/29/20
T1221	SI-(3|4)	"System Monitoring, malware"	5/29/20
T1127(\.001)?	AU-\d+	Audit	5/29/20
T1127(\.001)?	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	5/29/20
T1127(\.001)?	RA-5	Vulnerability Scanning	5/29/20
T1127(\.001)?	SI-4	System Monitoring	5/29/20
T1059(\.001|.002)?	(AU-\d+|CM-(2|6)|SI-7|IA-9)		5/29/20
T1059\.002	SA-12		5/29/20
T1554	(AU-\d+|CM-(2|6)|SI-7|IA-9|CA-8|SA-12|SA-19)		5/29/20
T1546(\.006|.013)?	(AU-\d+|CM-(1|2|6)|SI-7|IA-9)		5/29/20
T1546\.006	SA-12		5/29/20
T1525	(AU-\d+|SI-7|IA-9)		5/29/20
T1036(\.001|.005)?	(AU-\d+|CM-(2|6)|SI-7|IA-9)		5/29/20
T1505(\.001|.002)?	(AU-\d+|CM-(2|6)|SI-7|IA-9|SA-12)		5/29/20
T1119	AU-\d+	Audit	6/24/20
T1119	AC-(16|17|18|19|20)	Access Control	6/24/20
T1119	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	6/24/20
T1119	SC-4	Off-system Storage	6/24/20
T1119	PM-11	Mission/business processes 	6/24/20
T1119	SI-(4|7|12)	System Monitoring	6/24/20
T1530	AU-\d+	Audit	6/24/20
T1530	AC-(16|17|18|19|20)	Access Control	6/24/20
T1530	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	6/24/20
T1530	SC-4	Off-system Storage	6/24/20
T1530	PM-11	Mission/business processes 	6/24/20
T1530	SI-(4|7|12)	System Monitoring	6/24/20
T1565(\.(001|002))?	AU-\d+	Audit	6/24/20
T1565(\.(001|002))?	AC-(16|17|18|19|20)	Access Control	6/24/20
T1565(\.(001|002))?	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	6/24/20
T1565(\.(001|002))?	SC-4	Off-system Storage	6/24/20
T1565(\.(001|002))?	PM-11	Mission/business processes 	6/24/20
T1565(\.(001|002))?	SI-(4|7|12)	System Monitoring	6/24/20
T1114(\.(001|002|003))?	AU-\d+	Audit	6/24/20
T1114(\.(001|002|003))?	AC-(4|16|17|19|20)	Access Control	6/24/20
T1114(\.(001|002|003))?	PM-11	Mission/business processes 	6/24/20
T1114(\.(001|002|003))?	SI-(4|7|12)	System Monitoring	6/24/20
T1040	AU-\d+	Audit	6/24/20
T1040	AC-(16|17|18|19)	Access Control	6/24/20
T1040	SC-4	Off-system Storage	6/24/20
T1040	PM-11	Mission/business processes 	6/24/20
T1040	SI-(4|7|12)	System Monitoring	6/24/20
T1003(\.003)?	AU-\d+	Audit	6/24/20
T1003(\.003)?	AC-16	Access Control	6/24/20
T1003(\.003)?	CP-9	Data backup	6/24/20
T1003(\.003)?	PM-11	Mission/business processes 	6/24/20
T1003(\.003)?	SI-(4|7|12)	System Monitoring	6/24/20
T1558(\.(002|003))?	AU-\d+	Audit	6/24/20
T1558(\.(002|003))?	AC-(16|17|18|19)	Access Control	6/24/20
T1558(\.(002|003))?	SC-4	Off-system Storage	6/24/20
T1558(\.(002|003))?	PM-11	Mission/business processes 	6/24/20
T1558(\.(002|003))?	SI-(4|7|12)	System Monitoring	6/24/20
T1552(\.004)?	AU-\d+	Audit	6/24/20
T1552(\.004)?	AC-(16|17|18|19|20)	Access Control	6/24/20
T1552(\.004)?	SC-4	Off-system Storage	6/24/20
T1552(\.004)?	PM-11	Mission/business processes 	6/24/20
T1552(\.004)?	SI-(4|7|12)	System Monitoring	6/24/20
T1550\.001	AU-\d+	Audit	6/24/20
T1550\.001	AC-(4|16|17|19|20)	Access Control	6/24/20
T1550\.001	PM-11	Mission/business processes 	6/24/20
T1550\.001	SI-(4|7|12)	System Monitoring	6/24/20
T1562\.003	AU-\d+	Audit	6/24/20
T1562\.003	CM-(1|2|6)	"Configuring system settings, Configuration Management"	6/24/20
T1562\.003	SI-4	System Monitoring	6/24/20
T1495	(AU-\d+|CA-8|CM-(3|5|8)|SA-10|SA-11|SI-(2|7)|IA-7)		6/24/20
T1542(\.001|.003)?	(AU-\d+|CA-8|CM-(3|5|8)|SA-10|SA-11|SI-(2|7)|IA-7|SC-34)		6/24/20
T1195\.003	(AU-\d+|CA-8|CM-(3|5|8)|SA-10|SA-11|SI-(2|7)|IA-7|SC-34)		6/24/20
T1559(\.002)?	(AU-\d+|AC-(4|6)|SI-(2|3|4)|CM-(2|6)|SC-(7|18))		6/24/20
T1055(\.001|.002|.012|.003|.004|.005|.008|.009|.011|.013|.014)?	(AU-\d+|AC-6|SI-(2|3|4)|SC-(7|18))		6/24/20
T1548(\.004)?	AU-\d+	Audit	7/10/20
T1548(\.004)?	SC-(18|34)	Code execution	7/10/20
T1548(\.004)?	SI-(3|4|7|12|16)	System Monitoring	7/10/20
T1547(\.004|006)	AU-\d+	Audit	7/10/20
T1547(\.004|006)	CM-(1|7)	"Configuration Management, Application Control"	7/10/20
T1547(\.004|006)	SI-(7|10)	Information Validation	7/10/20
T1176	AU-\d+	Audit	7/10/20
T1176	CM-(1|2|7)	"Configuration Management, Application Control"	7/10/20
T1176	SI-(7|10)	Information Validation	7/10/20
T1059(\.(002|003|004|005|006|007))?	AU-\d+	Audit	7/10/20
T1059(\.(002|003|004|005|006|007))?	CM-(1|7)	"Configuration Management, Application Control"	7/10/20
T1059(\.(002|003|004|005|006|007))?	SI-(7|10)	Information Validation	7/10/20
T1548(\.002)?	(AU-\d+|CA-8|CM-2|RA-5|SI-4|IA-2|AC-(2|6))		7/20/20
T1560(\.001)?	(AU-\d+|CA-8|SC-7|RA-5|SI-(3|4))		7/20/20
T1176	(AU-\d+|CA-8|SC-7|CM-2|RA-5|SI-(3|4))		7/20/20
T1059	(AU-\d+|CA-8|CM-(2|6|7|8|11)|RA-5|SI-4)		7/20/20
T1543(\.003)?	(AU-\d+|CA-8|CM-(2|6|7)|AC-(2|6|17)|RA-5|IA-(2|4)|SI-4)		7/20/20
T1530	(AU-\d+|CA-8|CM-(6|7)|AC-(2|6)|RA-5|IA-(2|4|6)|SI-4)		7/20/20
T1213(\.001|002)?	(AU-\d+|CA-8|CM-(6|7)|AC-(2|6)|RA-5|IA-(2|4)|SI-4)		7/20/20
T1482	(AU-\d+|CA-8|RA-5|PL-8|SA-(8|13|17))		7/20/20
T1114(\.003)?	(AU-\d+|AC-4|SC-7|SI-4)		7/20/20
T1546	(AU-\d+|CM-(2|7|8)|SI-(2|3|4))		7/20/20
T1547(\.010|.005|.007|.009|.008|.001|.002)?	(AU-\d+|CA-8|RA-5|CM-(2|6)|SI-4)		7/20/20
T1562	(AU-\d+|CA-8|RA-5|CM-2|AC-(2|6)|IA-(2|4)|SI-4)		7/20/20
T1525	(AU-\d+|CA-8|RA-5|CM-(2|6|7)|SI-(2|3|4))		7/20/20
T1578(\.001|.002|.003)?	(AU-\d+|CA-8|RA-5|AC-(2|6)|IA-(2|4|6)|SI-4)		7/20/20
T1563	(AU-\d+|CA-8|RA-5|AC-(2|6|17)|IA-(2|4|6)|SI-4)		7/20/20
T1021(\.005|.001)	(AU-\d+|CA-8|RA-5|AC-(2|6|17)|IA-(2|4|6)|SI-4)		7/20/20
T1053(\.002|.005)?	(AU-\d+|CA-8|RA-5|AC-(2|6)|IA-(2|4)|SI-4)|CM-(2|6|7|8)		7/20/20
T1053(\.001|.004|.003)	(AU-\d+|CA-8|RA-5|SI-4)		7/20/20
T1505(\.002|.001)?	(AU-\d+|CA-8|RA-5|CM-(2|6|8|11)|SI-4|SA-(10|11))		7/20/20
T1528	(AU-\d+|CA-8|RA-5|CM-(2|6)|SI-4|SA-(15|11)|AC-(2|6)|IA-(2|4))		7/20/20
T1552(\.001|.002|.004|.006)?	(AU-\d+|CA-8|RA-5|SI-4|SA-(15|11)|AC-2|IA-(2|5))		7/20/20
T1550	(AU-\d+|CA-8|RA-5|SI-4|SA-(15|11)|AC-(2|6)|IA-(2|4)|CM-(2|6))		7/20/20
T1484	(AU-\d+|CA-8|RA-5|SI-4|AC-(2|3|4|6)|CM-(2|6|7|5))		7/21/20
T1098\.004	AU-\d+	Audit	7/31/20
T1098\.004	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	7/31/20
T1098\.004	RA-5	Vulnerability Scanning	7/31/20
T1098\.004	SI-(3|4)	"System Monitoring, malware"	7/31/20
T1059(\.(001|005|007))?	AU-\d+	Audit	7/31/20
T1059(\.(001|005|007))?	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	7/31/20
T1059(\.(001|005|007))?	RA-5	Vulnerability Scanning	7/31/20
T1059(\.(001|005|007))?	SI-(3|4)	"System Monitoring, malware"	7/31/20
T1564\.006	AU-\d+	Audit	7/31/20
T1564\.006	CM-(1|2|6|8)	"Configuring system settings, Configuration Management"	7/31/20
T1564\.006	IR-5	Incident Monitoring	7/31/20
T1564\.006	SI-4	System Monitoring	7/31/20
T1218(\.(003|004|005|008|009))?	CM-(1|2|6|7|8)	"Configuring system settings, Configuration Management, Application Control"	7/31/20
T1070(\.(001|002))?	AU-\d+	Audit	7/31/20
T1070(\.(001|002))?	AC-(16|17|18|19)	Access Control	7/31/20
T1070(\.(001|002))?	SC-4	Off-system Storage	7/31/20
T1070(\.(001|002))?	PM-11	Mission/business processes 	7/31/20
T1070(\.(001|002))?	SI-(4|7|12)	System Monitoring	7/31/20
T1070\.003	AU-\d+	Audit	7/31/20
T1070\.003	CM-(1|2|6)	"Configuring system settings, Configuration Management"	7/31/20
T1070\.003	SI-4	System Monitoring	7/31/20
T1548(\.004)?	CM-(1|2|6|7|8)	"Configuring system settings, Configuration Management, Application Control"	7/31/20
T1189	(AU-\d+|AC-(4|6)|SC-(2|3|7|18|29|30|39)|CM-8|SI-(3|4))		8/5/20
T1190	(AU-\d+|AC-(4|6)|SC-(2|3|7|18|29|30|39)|CM-8|SI-(3|4|10)|SA-8)		8/5/20
T1203	(AU-\d+|AC-(4|6)|SC-(2|3|7|18|29|30|39)|CM-8|SI-(3|4))		8/5/20
T1212	(AU-\d+|AC-(4|6)|SC-(2|3|7|18|29|30|39)|CM-8|SI-(2|3|4))		8/5/20
T1211	(AU-\d+|AC-(4|6)|SC-(2|3|7|18|29|30|39)|CM-8|SI-(2|3|4))		8/5/20
T1068	(AU-\d+|AC-(4|6)|SC-(2|3|7|18|29|30|39)|CM-8|SI-(2|3|4))		8/5/20
T1210	(AU-\d+|AC-(4|6)|SC-(2|3|7|18|29|30|39)|CM-8|SI-(2|3|4))		8/5/20
T1559(\.002|.001|.003)?	(AU-\d+|AC-(4|6)|SC-(3|7|18)|CM-(2|6)|SI-3)		8/5/20
T1078	(AU-\d+|PL-8|SA-(3|4|8|10|11|12|15|16|17)|RA-5|CA-8|SC-28|IA-5)		8/5/20
T1546\.(002|006|008|009|01)	AU-\d+	Audit	8/6/20
T1546\.(002|006|008|009|01)	CM-(1|7)	"Configuration Management, Application Control"	8/6/20
T1546\.(002|006|008|009|01)	SI-(7|10)	Information Validation	8/6/20
T1564\.(003|006)	AU-\d+	Audit	8/6/20
T1564\.(003|006)	CM-(1|7)	"Configuration Management, Application Control"	8/6/20
T1564\.(003|006)	SI-(7|10)	Information Validation	8/6/20
T1574(\.(009|007|008|001|006|012))?	AU-\d+	Audit	8/6/20
T1574(\.(009|007|008|001|006|012))?	CM-(1|7)	"Configuration Management, Application Control"	8/6/20
T1574(\.(009|007|008|001|006|012))?	SI-(7|10)	Information Validation	8/6/20
T1036(\.005)?	AU-\d+	Audit	8/6/20
T1036(\.005)?	CM-(1|2|7)	"Configuration Management, Application Control"	8/6/20
T1036(\.005)?	SI-(4|7|10)	"System Monitoring, Information Validation"	8/6/20
